player_id,avg_points,avg_rebounds,avg_assists,first_name,last_name
2242,10.214285714285714,4.979591836734694,1.6224489795918366,Caleb,Martin
2785,3.0555555555555554,2.0555555555555554,0.2222222222222222,Omer,Yurtseven
724,19.660194174757283,9.271844660194175,3.320388349514563,Bam,Adebayo
327,10.710843373493976,3.9759036144578315,4.72289156626506,Kyle,Lowry
1866,20.02777777777778,5.361111111111111,4.083333333333333,Tyler,Herro
3424,6.565217391304348,3.4347826086956523,0.8260869565217391,Jamal,Cain
1815,4.246753246753247,3.012987012987013,0.7402597402597403,Haywood,Highsmith
3453,4.925925925925926,2.3333333333333335,0.9259259259259259,Nikola,Jovic
131,5.545454545454546,3.606060606060606,0.5151515151515151,Dewayne,Dedmon
3482,3.6857142857142855,3.8285714285714287,0.9714285714285714,Orlando,Robinson
1018,7.671428571428572,1.6714285714285715,1.3571428571428572,Duncan,Robinson
2051,11.18348623853211,3.3211009174311927,1.981651376146789,Max,Strus
2880,3.25,2.5,1.75,Marcus,Garrett
3360,4.8,2.1,1.4,Dru,Smith
86,23.6,5.9,5.4222222222222225,Jimmy,Butler
3430,1.0,2.0,0.5,Darius,Days
3418,6.125,1.875,1.625,Jamaree,Bouyea
1775,10.0,1.9578947368421054,2.7473684210526317,Gabe,Vincent
403,10.25531914893617,2.9574468085106385,3.3617021276595747,Victor,Oladipo
2201,3.0,0.0,1.0,Mychal,Mulder
225,3.0,1.3333333333333333,0.0,Udonis,Haslem
326,7.209302325581396,5.441860465116279,1.5348837209302326,Kevin,Love
571,3.945945945945946,3.108108108108108,0.4594594594594595,Cody,Zeller
