player_id,avg_points,avg_rebounds,avg_assists,first_name,last_name
2590,3.3114754098360657,1.6885245901639345,0.5737704918032787,Anthony,Gill
38,7.833333333333333,2.6666666666666665,2.5,Will,Barton
820,20.893939393939394,7.136363636363637,3.6818181818181817,Kyle,Kuzma
432,23.106060606060606,8.318181818181818,2.6363636363636362,Kristaps,Porzingis
845,10.09375,3.34375,5.265625,Monte,Morris
1862,13.28125,4.34375,1.15625,Rui,Hachimura
1859,9.0375,5.55,1.0875,Daniel,Gafford
2574,1.0833333333333333,1.3333333333333333,0.25,Vernon,Carey Jr.
2582,1.0,1.5,1.5,Devon,Dotson
564,7.403846153846154,3.6153846153846154,3.826923076923077,Delon,Wright
3341,6.46875,3.28125,2.671875,Jordan,Goodwin
3428,5.566666666666666,2.2666666666666666,1.0,Johnny,Davis
3452,6.1,0.9,1.7,Quenton,Jackson
45,23.058823529411764,3.9411764705882355,5.411764705882353,Bradley,Beal
2857,2.0,1.8571428571428572,0.5714285714285714,Isaiah,Todd
190,3.5510204081632653,1.9387755102040816,0.6938775510204082,Taj,Gibson
2564,9.171052631578947,6.407894736842105,2.776315789473684,Deni,Avdija
2914,1.5,0.0,0.5,Jordan,Schakel
2825,11.08108108108108,2.7972972972972974,1.1756756756756757,Corey,Kispert
1007,7.548387096774194,1.7419354838709677,1.8064516129032258,Kendrick,Nunn
3418,0.0,1.0,0.0,Jamaree,Bouyea
2814,7.285714285714286,3.0,1.4285714285714286,Jay,Huff
1191,3.8,3.8,0.6,Xavier,Cooks
