player_id,avg_points,avg_rebounds,avg_assists,first_name,last_name
441,23.681318681318682,9.637362637362637,4.054945054945055,Julius,Randle
1020,7.4324324324324325,9.324324324324325,0.8243243243243243,Mitchell,Robinson
946,24.216867469879517,3.7228915662650603,6.036144578313253,Jalen,Brunson
177,6.066666666666666,1.8333333333333333,1.5333333333333334,Evan,Fournier
1846,19.568181818181817,5.011363636363637,2.75,RJ,Barrett
2658,7.560975609756097,2.9390243902439024,0.9512195121951219,Obi,Toppin
3067,0.6666666666666666,0.0,0.3333333333333333,Feron,Hunt
3456,0.6,0.4,0.0,Trevor,Keels
1889,7.708333333333333,1.625,1.0,Cam,Reddish
978,4.731958762886598,6.371134020618556,1.2783505154639174,Isaiah,Hartenstein
456,5.354838709677419,1.4193548387096775,1.6774193548387097,Derrick,Rose
2832,3.1973684210526314,0.7763157894736842,1.0394736842105263,Miles,McBride
2636,14.290322580645162,3.935483870967742,3.21505376344086,Immanuel,Quickley
609,0.7857142857142857,0.42857142857142855,0.35714285714285715,Ryan,Arcidiacono
2598,2.5,2.0,0.5,Jalen,Harris
2849,3.309090909090909,4.545454545454546,0.4727272727272727,Jericho,Sims
1006,2.0714285714285716,0.5,0.07142857142857142,Svi,Mykhailiuk
2811,10.432098765432098,3.1481481481481484,2.0246913580246915,Quentin,Grimes
791,10.277777777777779,7.138888888888889,3.1666666666666665,Josh,Hart
1948,0.0,0.0,0.0,DaQuan,Jeffries
