player_id,avg_points,avg_rebounds,avg_assists,first_name,last_name
1897,15.586666666666666,4.8533333333333335,2.3733333333333335,P.J.,Washington
426,11.866666666666667,9.483333333333333,3.6333333333333333,Mason,Plumlee
2566,22.615384615384617,6.282051282051282,8.282051282051283,LaMelo,Ball
458,20.850746268656717,4.104477611940299,4.970149253731344,Terry,Rozier
407,19.666666666666668,5.196078431372549,1.0980392156862746,Kelly,Oubre Jr.
1880,10.233333333333333,4.733333333333333,1.9,Jalen,McDaniels
2823,3.306122448979592,2.693877551020408,0.3469387755102041,Kai,Jones
2856,4.013698630136986,2.232876712328767,0.5068493150684932,JT,Thor
2639,8.159420289855072,6.391304347826087,0.5507246376811594,Nick,Richards
3506,8.702127659574469,6.787234042553192,0.44680851063829785,Mark,Williams
2793,5.684210526315789,2.289473684210526,1.2105263157894737,James,Bouknight
2990,2.5,0.25,1.0,Jalen,Crutcher
2567,1.5,0.0,0.5,LiAngelo,Ball
3469,5.28,1.98,1.12,Bryce,McGowens
227,14.51923076923077,4.288461538461538,4.0,Gordon,Hayward
876,8.678571428571429,3.017857142857143,4.732142857142857,Dennis,Smith Jr.
2645,3.4,1.2,1.0,Xavier,Sneed
3434,0.0,0.0,0.0,Anthony,Duruji
1879,5.375,3.625,1.5,Cody,Martin
2614,6.704545454545454,2.7954545454545454,3.4545454545454546,Theo,Maledon
1006,10.578947368421053,2.4210526315789473,2.736842105263158,Svi,Mykhailiuk
873,1.0,0.8,1.0,Kobi,Simmons
