player_id,avg_points,avg_rebounds,avg_assists,first_name,last_name
1902,24.21212121212121,6.606060606060606,4.363636363636363,Zion,Williamson
2822,9.830985915492958,3.943661971830986,2.4225352112676055,Herbert,Jones
2668,9.180722891566266,3.6265060240963853,2.433734939759036,Naji,Marshall
525,14.035714285714286,10.071428571428571,1.869047619047619,Jonas,Valanciunas
347,20.253164556962027,4.253164556962025,5.6455696202531644,CJ,McCollum
385,6.826086956521739,5.391304347826087,1.826086956521739,Larry,Nance Jr.
507,1.9655172413793103,0.8620689655172413,0.5172413793103449,Garrett,Temple
231,7.5,5.023809523809524,0.8571428571428571,Willy,Hernangomez
1864,5.1,3.06,0.82,Jaxson,Hayes
973,5.655172413793103,1.396551724137931,2.2758620689655173,Devonte',Graham
2941,9.136363636363637,2.4393939393939394,3.090909090909091,Jose,Alvarado
3170,0.0,1.0,0.5,John,Petty Jr.
3478,4.0,1.6,0.4,Daeqwon,Plowden
3486,2.6,1.0,0.1,Dereon,Seabron
3406,4.095238095238095,3.2222222222222223,2.253968253968254,Dyson,Daniels
2837,14.630952380952381,3.607142857142857,1.4404761904761905,Trey,Murphy III
3597,0.0,1.0,1.0,John,Butler Jr.
1514,1.0,1.5,0.0,Kelan,Martin
2917,0.0,1.0,0.5,Javonte,Smart
260,24.70212765957447,5.382978723404255,5.787234042553192,Brandon,Ingram
2611,4.384615384615385,1.3076923076923077,0.8846153846153846,Kira,Lewis Jr.
446,7.583333333333333,2.4166666666666665,1.7083333333333333,Josh,Richardson
