player_id,avg_points,avg_rebounds,avg_assists,first_name,last_name
2827,9.139240506329115,3.1772151898734178,1.6835443037974684,Jonathan,Kuminga
548,16.96078431372549,5.137254901960785,2.156862745098039,Andrew,Wiggins
322,6.96875,9.75,2.625,Kevon,Looney
124,29.542857142857144,5.885714285714286,6.214285714285714,Stephen,Curry
1887,19.104166666666668,2.6770833333333335,4.385416666666667,Jordan,Poole
206,6.196969696969697,3.378787878787879,0.8636363636363636,JaMychal,Green
2609,6.114285714285714,3.2714285714285714,1.3857142857142857,Anthony,Lamb
3413,3.7222222222222223,1.3055555555555556,0.3333333333333333,Patrick,Baldwin Jr.
2666,7.6521739130434785,3.739130434782609,0.7391304347826086,James,Wiseman
1899,4.0,2.0,1.5,Quinndary,Weatherspoon
962,8.724137931034482,4.2988505747126435,3.4597701149425286,Donte,DiVincenzo
1870,6.74468085106383,1.6595744680851063,2.9361702127659575,Ty,Jerome
2836,5.1558441558441555,1.8051948051948052,0.7922077922077922,Moses,Moody
3492,5.5,3.0,1.5,Pat,Spencer
1019,7.0,4.0,1.0,Jerome,Robinson
3480,3.4,0.8,0.8,Lester,Quinones
3484,2.6923076923076925,0.9230769230769231,0.8461538461538461,Ryan,Rollins
204,8.588235294117647,7.152941176470589,6.847058823529411,Draymond,Green
514,21.341463414634145,4.146341463414634,2.341463414634146,Klay,Thompson
256,2.125,2.125,2.375,Andre,Iguodala
593,6.421052631578948,3.8947368421052633,0.8947368421052632,Gary,Payton II
