player_id,avg_points,avg_rebounds,avg_assists,first_name,last_name
3414,19.571428571428573,6.792207792207792,3.6103896103896105,Paolo,Banchero
950,14.887096774193548,8.596774193548388,2.435483870967742,Wendell,Carter Jr.
932,7.288888888888889,4.5777777777777775,0.9777777777777777,Mo,Bamba
2563,12.953846153846154,4.630769230769231,3.753846153846154,Cole,Anthony
2852,9.535714285714286,2.892857142857143,2.857142857142857,Jalen,Suggs
1883,4.8125,3.3125,1.46875,Chuma,Okeke
3394,2.3333333333333335,2.0,0.3333333333333333,Aleem,Ford
3449,4.0,1.9642857142857142,0.5892857142857143,Caleb,Houstan
1037,10.225806451612904,4.338709677419355,1.3870967741935485,Moritz,Wagner
1849,8.786666666666667,5.8,1.0133333333333334,Bol,Bol
2597,6.096774193548387,1.8387096774193548,1.7419354838709677,R.J.,Hampton
457,8.23404255319149,2.021276595744681,1.1914893617021276,Terrence,Ross
2532,4.0,2.0,0.75,Devin,Cannady
2678,1.5,1.5,2.5,Zavier,Simpson
2677,4.184210526315789,2.1052631578947367,0.5,Kevon,Harris
2858,18.36144578313253,4.156626506024097,3.5783132530120483,Franz,Wagner
1892,4.2368421052631575,1.736842105263158,0.8947368421052632,Admiral,Schofield
220,8.270833333333334,2.0416666666666665,1.2291666666666667,Gary,Harris
779,13.95,3.9,5.683333333333334,Markelle,Fultz
801,5.0,4.0,0.5454545454545454,Jonathan,Isaac
1848,5.764705882352941,5.176470588235294,1.2352941176470589,Goga,Bitadze
95,4.25,1.25,1.75,Michael,Carter-Williams
2641,6.5,3.0,0.5,Jay,Scrubb
